,0
246,7243.61279296875
247,7241.21875
248,7238.85498046875
249,7236.5361328125
250,7234.255859375
251,7232.0068359375
252,7229.77978515625
253,7227.57421875
254,7225.38818359375
255,7223.22900390625
256,7221.091796875
257,7218.990234375
258,7216.91552734375
259,7214.85986328125
260,7212.83447265625
261,7210.826171875
262,7208.84326171875
263,7206.88134765625
264,7204.939453125
265,7203.02001953125
266,7201.1201171875
267,7199.24560546875
268,7197.388671875
269,7195.552734375
270,7193.736328125
271,7191.939453125
272,7190.162109375
273,7188.40087890625
274,7186.66064453125
275,7184.935546875
276,7183.2275390625
277,7181.54052734375
278,7179.8671875
279,7178.21533203125
280,7176.5771484375
281,7174.94921875
282,7173.3447265625
283,7171.75341796875
284,7170.1796875
285,7168.61865234375
286,7167.0751953125
287,7165.54345703125
288,7164.02880859375
289,7162.52685546875
290,7161.03759765625
291,7159.56396484375
292,7158.1044921875
293,7156.6572265625
294,7155.22021484375
295,7153.7958984375
296,7152.380859375
297,7150.9716796875
298,7149.56787109375
299,7148.15771484375
300,7146.72998046875
301,7145.25634765625
302,7143.74658203125
303,7142.26171875
304,7140.87890625
305,7139.5693359375
306,7138.2939453125
307,7137.03564453125
308,7135.7880859375
309,7134.54345703125
310,7133.30859375
311,7132.07763671875
312,7130.8564453125
313,7129.640625
314,7128.43798828125
315,7127.2392578125
316,7126.052734375
317,7124.8740234375
318,7123.701171875
319,7122.5380859375
320,7121.3896484375
321,7120.24609375
322,7119.115234375
323,7117.9921875
324,7116.88232421875
325,7115.779296875
326,7114.6904296875
327,7113.609375
328,7112.5361328125
329,7111.4765625
330,7110.42626953125
331,7109.3828125
332,7108.345703125
333,7107.31884765625
334,7106.2998046875
335,7105.28564453125
336,7104.283203125
337,7103.28564453125
338,7102.29345703125
339,7101.31298828125
340,7100.34033203125
341,7099.37353515625
342,7098.416015625
343,7097.46533203125
344,7096.5224609375
345,7095.58349609375
346,7094.65576171875
347,7093.73388671875
348,7092.8193359375
349,7091.9091796875
350,7091.00732421875
351,7090.10986328125
352,7089.22216796875
353,7088.3427734375
354,7087.46630859375
355,7086.59716796875
356,7085.734375
357,7084.87841796875
358,7084.029296875
359,7083.18359375
360,7082.34423828125
361,7081.5146484375
362,7080.6875
363,7079.8671875
364,7079.05322265625
365,7078.2431640625
366,7077.44189453125
367,7076.640625
368,7075.8486328125
369,7075.05859375
370,7074.2763671875
371,7073.4990234375
372,7072.7265625
373,7071.95361328125
374,7071.18408203125
375,7070.4150390625
376,7069.64453125
377,7068.85791015625
378,7068.03759765625
379,7067.15966796875
380,7066.150390625
381,7064.89453125
382,7063.34814453125
383,7062.2705078125
384,7061.71240234375
385,7061.18896484375
386,7060.60595703125
387,7059.95849609375
388,7059.2578125
389,7058.50830078125
390,7057.72509765625
391,7056.92724609375
392,7056.12744140625
393,7055.3583984375
394,7054.65234375
395,7054.0302734375
396,7053.427734375
397,7052.76806640625
398,7052.068359375
399,7051.376953125
400,7050.72802734375
401,7050.09765625
402,7049.466796875
403,7048.8310546875
404,7048.193359375
405,7047.56103515625
406,7046.93115234375
407,7046.3134765625
408,7045.7021484375
409,7045.095703125
410,7044.49072265625
411,7043.8828125
412,7043.27880859375
413,7042.685546875
414,7042.09716796875
415,7041.5107421875
416,7040.92822265625
417,7040.34375
418,7039.76611328125
419,7039.1904296875
420,7038.61572265625
421,7038.0498046875
422,7037.4892578125
423,7036.9306640625
424,7036.37158203125
425,7035.81591796875
426,7035.26416015625
427,7034.71826171875
428,7034.1728515625
429,7033.63037109375
430,7033.09228515625
431,7032.55419921875
432,7032.01904296875
433,7031.48876953125
434,7030.9619140625
435,7030.4375
436,7029.91650390625
437,7029.39892578125
438,7028.88427734375
439,7028.3681640625
440,7027.8544921875
441,7027.34716796875
442,7026.8427734375
443,7026.3408203125
444,7025.841796875
445,7025.3447265625
446,7024.85107421875
447,7024.3583984375
448,7023.8681640625
449,7023.37841796875
450,7022.8935546875
451,7022.408203125
452,7021.93115234375
453,7021.45361328125
454,7020.9794921875
455,7020.505859375
456,7020.03564453125
457,7019.5673828125
458,7019.09912109375
459,7018.63671875
460,7018.17529296875
461,7017.7158203125
462,7017.2607421875
463,7016.80517578125
464,7016.35400390625
465,7015.9013671875
466,7015.4541015625
467,7015.01025390625
468,7014.5654296875
469,7014.12109375
470,7013.68359375
471,7013.2451171875
472,7012.8115234375
473,7012.376953125
474,7011.9453125
475,7011.51904296875
476,7011.0927734375
477,7010.66943359375
478,7010.24365234375
479,7009.822265625
480,7009.40478515625
481,7008.9873046875
482,7008.5751953125
483,7008.16015625
484,7007.74853515625
485,7007.3408203125
486,7006.9326171875
487,7006.52783203125
488,7006.1240234375
489,7005.7216796875
490,7005.32275390625
491,7004.92578125
492,7004.53076171875
493,7004.13525390625
494,7003.74267578125
495,7003.35302734375
496,7002.96435546875
497,7002.57861328125
498,7002.1923828125
499,7001.810546875
500,7001.43017578125
501,7001.05126953125
502,7000.673828125
503,7000.2978515625
504,6999.92041015625
505,6999.546875
506,6999.1767578125
507,6998.80322265625
508,6998.43408203125
509,6998.0634765625
510,6997.68798828125
511,6997.30810546875
512,6996.9169921875
513,6996.50048828125
514,6996.05126953125
515,6995.5888671875
516,6995.16455078125
517,6994.796875
518,6994.462890625
519,6994.13525390625
520,6993.80029296875
521,6993.46142578125
522,6993.12353515625
523,6992.78564453125
524,6992.4453125
525,6992.103515625
526,6991.7626953125
527,6991.42724609375
528,6991.08837890625
529,6990.748046875
530,6990.41015625
531,6990.068359375
532,6989.73095703125
533,6989.39501953125
534,6989.05908203125
535,6988.72998046875
536,6988.4052734375
537,6988.08837890625
538,6987.77392578125
539,6987.45947265625
540,6987.14306640625
541,6986.82568359375
542,6986.51025390625
543,6986.19189453125
544,6985.880859375
545,6985.57177734375
546,6985.26611328125
547,6984.9609375
548,6984.65625
549,6984.35400390625
550,6984.0498046875
551,6983.751953125
552,6983.4521484375
553,6983.1552734375
554,6982.8583984375
555,6982.5615234375
556,6982.26806640625
557,6981.97607421875
558,6981.685546875
559,6981.396484375
560,6981.107421875
561,6980.8173828125
562,6980.53271484375
563,6980.24560546875
564,6979.9619140625
565,6979.68115234375
566,6979.3984375
567,6979.12060546875
568,6978.841796875
569,6978.564453125
570,6978.28759765625
571,6978.01318359375
572,6977.73974609375
573,6977.46484375
574,6977.193359375
575,6976.92138671875
576,6976.6513671875
577,6976.38232421875
578,6976.1123046875
579,6975.8447265625
580,6975.5810546875
581,6975.31640625
582,6975.05029296875
583,6974.7861328125
584,6974.52197265625
585,6974.2587890625
586,6973.99609375
587,6973.73095703125
588,6973.47119140625
589,6973.2109375
590,6972.95068359375
591,6972.68994140625
592,6972.431640625
593,6972.1728515625
594,6971.9130859375
595,6971.658203125
596,6971.40087890625
597,6971.14453125
598,6970.8935546875
599,6970.64208984375
600,6970.392578125
601,6970.140625
602,6969.8935546875
603,6969.650390625
604,6969.40625
605,6969.166015625
606,6968.92529296875
607,6968.68798828125
608,6968.451171875
609,6968.216796875
610,6967.9833984375
611,6967.75439453125
612,6967.5205078125
613,6967.2919921875
614,6967.0634765625
615,6966.8349609375
616,6966.6083984375
617,6966.3828125
618,6966.15966796875
619,6965.93505859375
620,6965.71533203125
621,6965.494140625
622,6965.2734375
623,6965.0498046875
624,6964.83251953125
625,6964.615234375
